2026-05-20 14:39:46 | INFO     | pytest | Starting browser: chrome
2026-05-20 14:39:47 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-20 14:39:49 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-20 14:39:54 | INFO     | HomePage | Clicked available locator: ('xpath', "//button[normalize-space()='Okay' or normalize-space()='OK']")
2026-05-20 14:39:56 | INFO     | HomePage | Clicked available locator: ('xpath', "//*[@id='suggestions_custom']/li[@title='Mumbai']")
2026-05-20 14:39:56 | INFO     | HomePage | Clicked available locator: ('xpath', '//*[@id="searchform_search_btn"]')
2026-05-20 14:39:59 | INFO     | tests | Captured step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\individual_property_search_before_details_20260520_143956.png
2026-05-20 14:40:09 | INFO     | SearchResultsPage | Failed to open property with locator ('xpath', "(//a[contains(@href,'property') or contains(@href,'project')])[1]"): Message: 

2026-05-20 14:40:22 | INFO     | SearchResultsPage | Failed to open property with locator ('xpath', "(//*[contains(@class,'srpTuple')]//a)[1]"): Message: 

2026-05-20 14:40:23 | ERROR    | pytest | Test failed. Screenshot saved: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\tests_test_individual_cases.py_Test99AcresIndividualCases_test_property_details_validation_call_failed_20260520_144022.png
2026-05-20 14:40:23 | INFO     | pytest | Closing browser after test execution
