2026-05-20 14:34:50 | INFO     | pytest | Starting browser: chrome
2026-05-20 14:34:52 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-20 14:34:59 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-20 14:35:05 | INFO     | HomePage | Clicked available locator: ('xpath', "//button[normalize-space()='Okay' or normalize-space()='OK']")
2026-05-20 14:35:05 | INFO     | HomePage | Hovered on login icon: ('xpath', "//i[contains(@class,'icon_userWhite') and contains(@class,'theader__dot')]")
2026-05-20 14:35:05 | INFO     | HomePage | Clicked available locator: ('xpath', "//*[contains(text(),'LOGIN / REGISTER') or contains(text(),'Login / Register') or contains(text(),'LOGIN/REGISTER') or contains(text(),'Login/Register')]")
2026-05-20 14:35:07 | INFO     | LoginPage | Entering mobile number using locator: ('xpath', "//input[@data-for='phnNumber']")
2026-05-20 14:35:12 | INFO     | LoginPage | Clicked available locator: ('xpath', "//button[normalize-space()='Continue']")
2026-05-20 14:35:17 | INFO     | LoginPage | Mobile number submitted. Pausing for 60 seconds to allow manual OTP entry. No further actions will run during this wait.
2026-05-20 14:36:17 | INFO     | LoginPage | Manual OTP wait completed. Verifying whether login has completed successfully.
2026-05-20 14:36:17 | INFO     | LoginPage | Login success confirmed. Waiting 20 seconds for the post-login page to stabilize.
2026-05-20 14:36:37 | INFO     | LoginPage | Page loaded completely: https://www.99acres.com/
2026-05-20 14:36:37 | INFO     | LoginPage | Post-login stabilization wait completed. E2E flow can continue.
2026-05-20 14:36:38 | INFO     | tests | Captured step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\individual_login_completed_20260520_143637.png
2026-05-20 14:36:38 | INFO     | pytest | Closing browser after test execution
