2026-05-20 14:41:48 | INFO     | pytest | Starting browser: chrome
2026-05-20 14:41:49 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-20 14:41:51 | INFO     | HomePage | Page loaded completely: https://www.99acres.com/
2026-05-20 14:41:55 | INFO     | HomePage | Clicked available locator: ('xpath', "//button[normalize-space()='Okay' or normalize-space()='OK']")
2026-05-20 14:41:57 | INFO     | HomePage | Clicked available locator: ('xpath', "//*[@id='suggestions_custom']/li[@title='Mumbai']")
2026-05-20 14:41:58 | INFO     | HomePage | Clicked available locator: ('xpath', '//*[@id="searchform_search_btn"]')
2026-05-20 14:42:01 | INFO     | tests | Captured step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\individual_property_search_before_details_20260520_144158.png
2026-05-20 14:42:09 | INFO     | SearchResultsPage | Failed to open property with locator ('xpath', "(//a[contains(@href,'property') or contains(@href,'project')])[1]"): Message: 

2026-05-20 14:42:19 | INFO     | SearchResultsPage | Failed to open property with locator ('xpath', "(//*[contains(@class,'srpTuple')]//a)[1]"): Message: 

2026-05-20 14:42:27 | INFO     | SearchResultsPage | Failed to open property with locator ('xpath', "(//a[contains(@href,'/buy/') or contains(@href,'/project-') or contains(@href,'/property-in-')])[1]"): Message: 

2026-05-20 14:42:29 | INFO     | SearchResultsPage | Page loaded completely: https://www.99acres.com/
2026-05-20 14:42:30 | INFO     | tests | Captured step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\individual_property_details_opened_20260520_144229.png
2026-05-20 14:42:48 | INFO     | pytest | Closing browser after test execution
