2026-05-18 00:22:49 | INFO     | pytest | Starting browser: chrome
2026-05-18 00:22:50 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-18 00:23:01 | INFO     | HomePage | Cookie confirmation was not shown.
2026-05-18 00:23:04 | INFO     | HomePage | Clicked available locator: ('xpath', "//*[@id='suggestions_custom']/li[@title='Mumbai']")
2026-05-18 00:23:08 | INFO     | HomePage | Clicked available locator: ('xpath', '//*[@id="searchform_search_btn"]')
2026-05-18 00:23:08 | INFO     | SearchResultsPage | Clicked available locator: ('xpath', '/html/body/div[1]/div/div/div[4]/div[2]/div/div[2]/div/div[2]/div/div[1]')
2026-05-18 00:23:09 | INFO     | SearchResultsPage | Clicked available locator: ('xpath', '//*[@id="lf_budget_min_list"]/li[5]')
2026-05-18 00:23:21 | INFO     | SearchResultsPage | Requested max-budget dropdown XPath was unavailable; using visible max-budget control.
2026-05-18 00:23:21 | INFO     | SearchResultsPage | Clicked available locator: ('xpath', "//*[contains(@class, 'bdf__maxValue') and normalize-space()='No max']")
2026-05-18 00:23:22 | INFO     | SearchResultsPage | Clicked available locator: ('xpath', '//*[@id="lf_budget_max_list"]/li[11]')
2026-05-18 00:23:40 | ERROR    | pytest | Test failed. Screenshot saved: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\tests_test_property_search.py_TestPropertySearch_test_mumbai_search_and_requested_filters_with_xpaths_20260518_002340.png
2026-05-18 00:23:41 | INFO     | pytest | Closing browser
